Frame,TimeStamp,Shoulder_X,Shoulder_Y,Elbow_X,Elbow_Y,Wrist_X,Wrist_Y,Shoulder_X_Normalized,Shoulder_Y_Normalized,Elbow_X_Normalized,Elbow_Y_Normalized,Wrist_X_Normalized,Wrist_Y_Normalized,Angle,Reps,velocidad_instantanea,vector_velocidad_x,vector_velocidad_y,aceleracion_instantanea,vector_aceleracion_x,vector_aceleracion_y
0.0,0.0,838.0,495.0,801.0,709.0,816.0,910.0,1.2472779400104397,0.7367572557340902,1.1922071956424367,1.0552745339706462,1.2145331730889244,1.35444263175358,166.0,0.0,0.3081388222945998,-0.2032715165597918,-0.2315820035334898,7.16702978665649,-2.9656960397485572,-6.524642745977828
1.0,0.0347847847847847,833.0,493.0,797.0,709.0,817.0,911.0,1.2311091719356,0.7286156323700491,1.1779039736286594,1.0478468222116932,1.2074624171325152,1.3463871016006383,165.0,0.0,0.551507163835635,-0.3064326150395337,-0.4585402972499352,15.649323168355883,12.516407412281284,9.393660687795272
2.0,0.0764931598264931,833.0,493.0,792.0,707.0,820.0,911.0,1.2136216850154014,0.7182658952131968,1.1538876044804298,1.0300486570298786,1.194681610699435,1.3272621309112016,161.0,0.0,0.2257014501076981,0.215606399486713,-0.0667459742688175,19.260493722861117,15.649075590991329,11.228225665518654
3.0,0.1182015348682015,832.0,493.0,786.0,708.0,827.0,910.0,1.2109515563738271,0.7175470159763183,1.1439999078243126,1.0304731994142664,1.2036742032706191,1.3244782647838735,156.0,0.0,0.9566640965167192,0.8683039132918238,0.4015650728415703,24.347312160244584,-18.391052478173865,-15.95496155349329
4.0,0.1599099099099099,832.0,491.0,782.0,705.0,832.0,900.0,1.2398897485363776,0.7317137818886554,1.1653771434560665,1.050627731632387,1.2398897485363776,1.3412268914456007,152.0,0.0,0.2826452071128402,0.1012429991204077,-0.2638904474075662,7.708546965061914,0.8910628055201238,-7.656872951093276
5.0,0.2016182849516183,832.0,490.0,775.0,704.0,838.0,896.0,1.2352047032884017,0.7274643084270634,1.1505813041448452,1.0451732104748013,1.2441124295140389,1.3302204496952017,147.0,0.0,0.5994437552591009,0.1384077807987579,-0.5832461760984772,5.341632857402084,5.180673213667435,1.3014094807040109
6.0,0.2433266599933266,832.0,488.0,770.0,698.0,848.0,886.0,1.2263024536509957,0.7192735545452956,1.1349193381145033,1.0287970103947055,1.249885193144284,1.3058941994408442,141.0,0.0,0.6367616088527839,0.3544852421629315,-0.5289665013944395,7.292144617693114,4.285651901688333,5.899878041358636
7.0,0.285035035035035,830.0,487.0,763.0,691.0,858.0,871.0,1.2233989081049748,0.7178256243941237,1.1246426107037295,1.0185164403620932,1.2646701965711664,1.2838318662161845,134.0,0.0,0.6036267241477897,0.5332328189767594,-0.2828921753451133,16.105114564798228,13.304315361394902,9.075786903063982
8.0,0.3267434100767433,826.0,485.0,755.0,686.0,865.0,855.0,1.2288879179432215,0.7215625184049181,1.123257116279821,1.0206018301562347,1.2869104709695964,1.2720328932705258,127.0,0.0,1.0923295412810845,1.0881341937429785,0.0956441486065032,22.129970045891785,-16.591601285302378,-14.64425966109657
9.0,0.3684517851184518,825.0,483.0,754.0,684.0,876.0,839.0,1.254729672962097,0.734587190352355,1.1467468768647529,1.040284965219484,1.3322947800179357,1.2760220552911508,122.0,0.0,0.6498375596584072,0.3961254647930943,-0.5151441255466754,46.80683339505495,37.54888101866794,27.945682792129983
10.0,0.4101601601601601,822.0,482.0,748.0,685.0,887.0,825.0,1.249974280971763,0.7329532888423234,1.1374461826847675,1.041645234143136,1.348816529467097,1.2545362309023171,115.0,0.0,2.0672185060041564,1.9622282767161796,0.6504248931440965,36.145379793082505,-29.897557082155984,-20.313162257644713
11.0,0.4518685352018685,818.0,481.0,746.0,684.0,893.0,800.0,1.31050184519838,0.770600718264573,1.1951520495329968,1.095823058821139,1.4306578823498206,1.2816643962820342,109.0,0.0,0.7418315588760803,0.7152497531027332,-0.1968040965808249,38.50165440291211,35.03731284145171,15.96133141725729
12.0,0.4935769102435769,814.0,479.0,743.0,683.0,898.0,783.0,1.3238738161055512,0.7790363119343477,1.2084007928334457,1.1108179562654688,1.4604897873007188,1.2734560172120966,104.0,0.0,2.226537009025445,2.176599137547668,0.4689171003351457,97.35157297491222,-73.75865262531153,-63.53731127131747
13.0,0.5352852852852853,811.0,479.0,741.0,682.0,901.0,751.0,1.3963171526758136,0.8247051986827555,1.2757965599664338,1.1742149175399568,1.551272200445016,1.2930137874963452,94.0,0.0,2.35941653980786,-0.8997544087199137,-2.1811209073107283,17.135847204630046,4.569773345295427,16.515278713756388
14.0,0.5769936603269937,805.0,479.0,737.0,683.0,913.0,725.0,1.3346819818479296,0.7941772289505071,1.2219386591576695,1.132407197021287,1.5137449061206951,1.202042778682918,85.0,0.0,1.6522254182633258,-0.7091565881787295,-1.4922954687990329,21.20677392944143,16.832485779804717,12.899406302892725
15.0,0.618702035368702,805.0,477.0,734.0,681.0,918.0,705.0,1.301475539681916,0.771184885004067,1.1866870138217718,1.1009998043768756,1.4841671371776384,1.139801559597206,78.0,0.0,0.954308612190559,-0.0071009583904121,-0.9542821929026069,12.51956727926282,-10.47388767725224,-6.858370198836744
16.0,0.6604104104104105,804.0,476.0,734.0,682.0,920.0,682.0,1.296774193548387,0.7677419354838709,1.1838709677419357,1.1,1.4838709677419355,1.1,71.0,0.0,1.3173909938475117,-0.4439497937779769,-1.2403336693305662,24.316575766200756,17.11603332517702,17.272442218887623
